u,v,length,highway,geometry,edge_id
1472212685,1472212691,99.941,tertiary,"LINESTRING (77.67614 12.8272791, 77.6759379 12.827464, 77.6758971 12.8275129, 77.6758517 12.8275613, 77.6757187 12.8276631, 77.6755259 12.8276856, 77.6753777 12.8277046)",159
1472212685,2389211704,49.461,residential,"LINESTRING (77.67614 12.8272791, 77.6760717 12.8270947, 77.6760181 12.8268515)",160
1472212691,1472212685,99.941,tertiary,"LINESTRING (77.6753777 12.8277046, 77.6755259 12.8276856, 77.6757187 12.8276631, 77.6758517 12.8275613, 77.6758971 12.8275129, 77.6759379 12.827464, 77.67614 12.8272791)",161
1472212691,1472212681,126.447,tertiary,"LINESTRING (77.6753777 12.8277046, 77.6751899 12.8277149, 77.6749188 12.8277257, 77.6746624 12.8274895, 77.6743982 12.8272596)",162
1472212691,1817171264,97.36000000000001,residential,"LINESTRING (77.6753777 12.8277046, 77.675428 12.8279897, 77.6754685 12.8282566, 77.6754629 12.8284186, 77.6754727 12.8285727)",163
1596076534,459523963,216.898,tertiary,"LINESTRING (77.662964 12.8364056, 77.6630189 12.8356361, 77.6630478 12.8356222, 77.6631086 12.8356226, 77.6631644 12.8356421, 77.6640814 12.836155)",164
1596076534,2398054569,379.596,unclassified,"LINESTRING (77.662964 12.8364056, 77.6628089 12.8364091, 77.6617738 12.8364324, 77.6613421 12.8364445, 77.6607781 12.8364557, 77.6607311 12.8351746)",165
1596076544,1859904857,565.084,unclassified,"LINESTRING (77.6695216 12.8418737, 77.6688379 12.8417585, 77.6686837 12.8417382, 77.6678624 12.8416303, 77.6677458 12.841615, 77.6673722 12.8415659, 77.66649 12.8414512, 77.6650933 12.8412553, 77.6644402 12.841165, 77.6643632 12.8411812)",166
1596076622,308769348,346.591,tertiary,"LINESTRING (77.6632855 12.8404086, 77.662875 12.8413208, 77.6626156 12.8419126, 77.6623689 12.8424754, 77.6620202 12.843271)",167
1596076622,308770488,69.262,tertiary,"LINESTRING (77.6632855 12.8404086, 77.6633821 12.8404559, 77.6635604 12.8405484, 77.6637223 12.8406565, 77.6637573 12.8406809, 77.6638302 12.8407316)",168
1597811502,13046007554,26.235,busway,"LINESTRING (77.670453 12.847126, 77.6705706 12.8469198)",169
1597811502,1597811522,47.136,tertiary,"LINESTRING (77.670453 12.847126, 77.670538 12.8471883, 77.6706032 12.8472508, 77.6706575 12.8473184, 77.670689 12.8473695, 77.670736 12.8474418)",170
1597811522,2399267432,61.038,tertiary,"LINESTRING (77.670736 12.8474418, 77.6706798 12.8476144, 77.6706417 12.8476757, 77.670463 12.8479152)",171
1614219915,11926112919,13.659,tertiary,"LINESTRING (77.6722849 12.8454592, 77.6721614 12.8454835)",172
