edge_id,u,v,key,length,highway,geometry
472,11303813683,9780799613,0,21.14381274361414,residential,"LINESTRING (77.6888234 12.8152873, 77.6889968 12.8153743)"
473,11307381271,9780799596,0,90.0190061160082,residential,"LINESTRING (77.6915255 12.8222883, 77.6923321 12.8220964)"
474,11393427235,11393427250,0,146.44711239561673,residential,"LINESTRING (77.7000445 12.8125334, 77.7000631 12.8124984, 77.7000881 12.8124842, 77.7008278 12.8124522, 77.7008778 12.8124368, 77.7009094 12.8124098, 77.7009318 12.8123572, 77.7009554 12.8120468, 77.7009554 12.8119797)"
475,11393427235,11393427256,0,2.8631502442777514,residential,"LINESTRING (77.7000445 12.8125334, 77.7000185 12.8125379)"
476,11393427235,11393427257,0,54.414865753638296,residential,"LINESTRING (77.7000445 12.8125334, 77.7001229 12.8125198, 77.7005446 12.8124992)"
477,11393427247,11393427248,0,27.53635879253608,residential,"LINESTRING (77.701328 12.8116407, 77.7010741 12.8116352)"
478,11393427248,11393427247,0,27.53635879253608,residential,"LINESTRING (77.7010741 12.8116352, 77.701328 12.8116407)"
479,11393427248,11393427249,0,15.486891497172113,residential,"LINESTRING (77.7010741 12.8116352, 77.7010831 12.8114962)"
480,11393427248,11393427250,0,46.92873220793421,residential,"LINESTRING (77.7010741 12.8116352, 77.7010568 12.8116349, 77.7009923 12.8116503, 77.7009686 12.8116747, 77.7009554 12.8117196, 77.7009554 12.8119797)"
481,11393427249,11393427248,0,15.486891497172113,residential,"LINESTRING (77.7010831 12.8114962, 77.7010741 12.8116352)"
482,11393427250,11393427235,0,146.4471123956167,residential,"LINESTRING (77.7009554 12.8119797, 77.7009554 12.8120468, 77.7009318 12.8123572, 77.7009094 12.8124098, 77.7008778 12.8124368, 77.7008278 12.8124522, 77.7000881 12.8124842, 77.7000631 12.8124984, 77.7000445 12.8125334)"
483,11393427250,11393427248,0,46.92873220793421,residential,"LINESTRING (77.7009554 12.8119797, 77.7009554 12.8117196, 77.7009686 12.8116747, 77.7009923 12.8116503, 77.7010568 12.8116349, 77.7010741 12.8116352)"
484,11393427250,11393427253,0,93.23714692676486,residential,"LINESTRING (77.7009554 12.8119797, 77.7013546 12.8119913, 77.7013648 12.8120011, 77.7013734 12.812021, 77.7013706 12.8124345)"
485,11393427253,11393427250,0,93.23714692676486,residential,"LINESTRING (77.7013706 12.8124345, 77.7013734 12.812021, 77.7013648 12.8120011, 77.7013546 12.8119913, 77.7009554 12.8119797)"
486,11393427255,11393427256,0,39.11741634042053,residential,"LINESTRING (77.7000267 12.8128896, 77.7000185 12.8125379)"
487,11393427256,7260445534,0,185.03892350374386,residential,"LINESTRING (77.7000185 12.8125379, 77.6999922 12.8125425, 77.6993872 12.8125023, 77.6983139 12.8125205)"
488,11393427256,11393427235,0,2.8631502442777514,residential,"LINESTRING (77.7000185 12.8125379, 77.7000445 12.8125334)"
489,11393427256,11393427255,0,39.11741634042053,residential,"LINESTRING (77.7000185 12.8125379, 77.7000267 12.8128896)"
490,11393427257,9780835291,0,44.75950393370545,residential,"LINESTRING (77.7005446 12.8124992, 77.7009569 12.8124792)"
491,11393427257,11393427235,0,54.414865753638296,residential,"LINESTRING (77.7005446 12.8124992, 77.7001229 12.8125198, 77.7000445 12.8125334)"
492,11393427257,11393427258,0,18.41244615151747,residential,"LINESTRING (77.7005446 12.8124992, 77.7005501 12.8126647)"
493,11393427258,11393427257,0,18.41244615151747,residential,"LINESTRING (77.7005501 12.8126647, 77.7005446 12.8124992)"
494,11393427598,7260445507,0,36.40583103899003,residential,"LINESTRING (77.697984 12.8131948, 77.6976484 12.8132051)"
495,11393427600,11393427602,0,37.04022811303641,residential,"LINESTRING (77.6973089 12.8129091, 77.6976505 12.8129124)"
496,11393427601,11393427602,0,34.17604567190319,residential,"LINESTRING (77.6979657 12.8129117, 77.6976505 12.8129124)"
497,11393427602,7260445507,0,32.54759746497607,residential,"LINESTRING (77.6976505 12.8129124, 77.6976484 12.8132051)"
498,11393427602,11393427600,0,37.04022811303641,residential,"LINESTRING (77.6976505 12.8129124, 77.6973089 12.8129091)"
499,11393427602,11393427601,0,34.17604567190319,residential,"LINESTRING (77.6976505 12.8129124, 77.6979657 12.8129117)"
500,11393427603,7260445507,0,40.25942594552038,residential,"LINESTRING (77.6972773 12.8132172, 77.6976484 12.8132051)"
501,11393427604,11393427605,0,36.67187099435282,residential,"LINESTRING (77.6973066 12.8135041, 77.6976446 12.8134922)"
502,11393427605,7260445507,0,31.9267672279154,residential,"LINESTRING (77.6976446 12.8134922, 77.6976484 12.8132051)"
503,11393427605,11393427604,0,36.67187099435282,residential,"LINESTRING (77.6976446 12.8134922, 77.6973066 12.8135041)"
504,11393427605,11393427606,0,29.65838321207523,residential,"LINESTRING (77.6976446 12.8134922, 77.697918 12.8134838)"
505,11393427605,11393427608,0,32.66073361361582,residential,"LINESTRING (77.6976446 12.8134922, 77.6976407 12.8137859)"
506,11393427606,11393427605,0,29.65838321207523,residential,"LINESTRING (77.697918 12.8134838, 77.6976446 12.8134922)"
507,11393427607,11393427608,0,56.16521691366479,residential,"LINESTRING (77.6971228 12.8137961, 77.6976407 12.8137859)"
508,11393427608,11393427605,0,32.66073361361582,residential,"LINESTRING (77.6976407 12.8137859, 77.6976446 12.8134922)"
509,11393427608,11393427607,0,56.16521691366479,residential,"LINESTRING (77.6976407 12.8137859, 77.6971228 12.8137961)"
510,11393427608,11393427611,0,57.06328371248731,residential,"LINESTRING (77.6976407 12.8137859, 77.697636 12.8141372, 77.6976318 12.814299)"
511,11393427609,7260445517,0,411.50743041604966,residential,"LINESTRING (77.6972811 12.8148292, 77.6971076 12.8148154, 77.69637 12.8143307, 77.6963391 12.8142925, 77.6963042 12.8142003, 77.6962379 12.81415, 77.6948793 12.813232, 77.6941965 12.812748)"
512,11393427609,11393427610,0,91.09799182898978,residential,"LINESTRING (77.6972811 12.8148292, 77.6972707 12.81401)"
513,11393427609,11393427611,0,96.21834862840282,residential,"LINESTRING (77.6972811 12.8148292, 77.6975732 12.8148525, 77.697605 12.8148427, 77.6976185 12.8148168, 77.6976318 12.814299)"
514,11393427610,11393427609,0,91.09799182898978,residential,"LINESTRING (77.6972707 12.81401, 77.6972811 12.8148292)"
515,11393427611,11393427608,0,57.06328371248731,residential,"LINESTRING (77.6976318 12.814299, 77.697636 12.8141372, 77.6976407 12.8137859)"
516,11393427611,11393427609,0,96.21834862840282,residential,"LINESTRING (77.6976318 12.814299, 77.6976185 12.8148168, 77.697605 12.8148427, 77.6975732 12.8148525, 77.6972811 12.8148292)"
517,11393427611,11393427615,0,91.2129820896769,residential,"LINESTRING (77.6976318 12.814299, 77.6978609 12.8143088, 77.6978908 12.8143283, 77.6978948 12.8143574, 77.6979307 12.8148885)"
518,11393427615,11393427611,0,91.2129820896769,residential,"LINESTRING (77.6979307 12.8148885, 77.6978948 12.8143574, 77.6978908 12.8143283, 77.6978609 12.8143088, 77.6976318 12.814299)"
519,11393442433,9780835308,0,26.87150846589364,residential,"LINESTRING (77.7004168 12.8168766, 77.7004015 12.8171178)"
520,11393442433,10293606377,0,31.48674048271243,residential,"LINESTRING (77.7004168 12.8168766, 77.7004294 12.8165937)"
521,11393442433,11393442434,0,22.749036490810077,residential,"LINESTRING (77.7004168 12.8168766, 77.7006266 12.816879)"
522,11393442434,11393442433,0,22.749036490810077,residential,"LINESTRING (77.7006266 12.816879, 77.7004168 12.8168766)"
523,11393472891,11393472893,0,96.35599565450664,residential,"LINESTRING (77.6981438 12.8197367, 77.6985879 12.8198221, 77.6990142 12.8199115)"
524,11393472891,11393472894,0,20.772425729424462,residential,"LINESTRING (77.6981438 12.8197367, 77.6980637 12.8199064)"
525,11393472891,11393472900,0,84.7904028343365,residential,"LINESTRING (77.6981438 12.8197367, 77.6983943 12.8192578, 77.6984618 12.8190427)"
526,11393472893,11393472891,0,96.35599565450664,residential,"LINESTRING (77.6990142 12.8199115, 77.6985879 12.8198221, 77.6981438 12.8197367)"
527,11393472894,9780955124,0,176.90056376805245,residential,"LINESTRING (77.6980637 12.8199064, 77.6979303 12.8201889, 77.6976541 12.8207512, 77.6974663 12.8209918, 77.6972987 12.8213059)"
528,11393472894,11393472891,0,20.772425729424462,residential,"LINESTRING (77.6980637 12.8199064, 77.6981438 12.8197367)"
529,11393472894,11393472895,0,17.065308417514164,residential,"LINESTRING (77.6980637 12.8199064, 77.6979141 12.8198587)"
530,11393472895,11393472894,0,17.065308417514164,residential,"LINESTRING (77.6979141 12.8198587, 77.6980637 12.8199064)"
531,11393472895,11393472898,0,38.466465886732166,residential,"LINESTRING (77.6979141 12.8198587, 77.6978967 12.8198163, 77.6979067 12.8197774, 77.6979905 12.8195304)"
532,11393472895,11393472899,0,45.05889256294061,residential,"LINESTRING (77.6979141 12.8198587, 77.6975037 12.8197949)"
533,11393472898,11393472895,0,38.466465886732166,residential,"LINESTRING (77.6979905 12.8195304, 77.6979067 12.8197774, 77.6978967 12.8198163, 77.6979141 12.8198587)"
534,11393472899,11393472895,0,45.05889256294061,residential,"LINESTRING (77.6975037 12.8197949, 77.6979141 12.8198587)"
535,11393472900,6270845563,0,25.771597432542,residential,"LINESTRING (77.6984618 12.8190427, 77.6985311 12.818821)"
536,11393472900,11393472891,0,84.7904028343365,residential,"LINESTRING (77.6984618 12.8190427, 77.6983943 12.8192578, 77.6981438 12.8197367)"
537,11393472900,11393472901,0,34.4291698664177,residential,"LINESTRING (77.6984618 12.8190427, 77.6987793 12.8190478)"
538,11393472901,11393472900,0,34.4291698664177,residential,"LINESTRING (77.6987793 12.8190478, 77.6984618 12.8190427)"
539,11430476531,10272970004,0,38.11568685995293,residential,"LINESTRING (77.6976541 12.8175339, 77.6973026 12.8175392)"
540,11900215339,11900215340,0,43.28267004069646,trunk_link,"LINESTRING (77.6850335 12.8233156, 77.6854077 12.82318)"
541,11900215339,11903068261,0,1352.4266195245993,trunk,"LINESTRING (77.6850335 12.8233156, 77.6852629 12.8230684, 77.6868974 12.8213304, 77.6873333 12.8208741, 77.6874805 12.8207201, 77.6883966 12.8197614, 77.6887464 12.8193828, 77.689143 12.8189393, 77.6896695 12.8182743, 77.6906569 12.8170311, 77.6930594 12.8140186)"
542,11900215340,9780799589,0,13.464747445315119,tertiary,"LINESTRING (77.6854077 12.82318, 77.6854929 12.8230919)"
543,11900215340,11022268660,0,173.84048236164278,tertiary,"LINESTRING (77.6854077 12.82318, 77.6851389 12.823458, 77.6846183 12.8240341, 77.6843637 12.8243159, 77.6843378 12.8243442)"
544,11903068261,7263230562,0,889.1235946480832,trunk,"LINESTRING (77.6930594 12.8140186, 77.6931049 12.8139637, 77.6976689 12.8082333, 77.6978211 12.8080423, 77.6980904 12.8077043)"
545,11903068261,12836773106,0,17.5544356504373,trunk_link,"LINESTRING (77.6930594 12.8140186, 77.6931772 12.8141269)"
546,11903070947,7100739193,0,13.193626784535159,trunk_link,"LINESTRING (77.6954421 12.8108028, 77.6953484 12.8107271)"
547,11903070947,11924857528,0,1624.0584391248767,trunk,"LINESTRING (77.6954421 12.8108028, 77.694444 12.8120583, 77.6915648 12.8156812, 77.6905602 12.8169635, 77.6896008 12.8181807, 77.6890283 12.8188833, 77.6886806 12.8192536, 77.688248 12.8197186, 77.687344 12.8206701, 77.6868294 12.8212117, 77.685979 12.8221095)"
548,11924857524,11924857525,0,10.427762347097463,tertiary_link,"LINESTRING (77.6870465 12.8207912, 77.6869666 12.820739)"
549,11924857524,11924857528,0,193.5141420777934,tertiary,"LINESTRING (77.6870465 12.8207912, 77.6869478 12.8208952, 77.68686 12.8209845, 77.6863619 12.8215127, 77.6859478 12.8219509, 77.685979 12.8221095)"
550,11924857525,1964047103,0,27.609458293917687,tertiary,"LINESTRING (77.6869666 12.820739, 77.6867971 12.8209243)"
551,11924857525,6749327457,0,302.6045994911746,tertiary,"LINESTRING (77.6869666 12.820739, 77.6876785 12.819951, 77.6877138 12.8199038, 77.6877165 12.8197652, 77.6877272 12.8197129, 77.6878069 12.819624, 77.688149 12.8192424, 77.6883634 12.8190033, 77.6885104 12.8188393, 77.6885775 12.8187818, 77.6886432 12.81877, 77.6887041 12.8187702, 77.6887541 12.8187741)"
552,11924857525,11924857524,0,10.427762347097463,tertiary_link,"LINESTRING (77.6869666 12.820739, 77.6870465 12.8207912)"
553,11924857528,10001212631,0,316.84069858488556,trunk,"LINESTRING (77.685979 12.8221095, 77.6855451 12.8225676, 77.6848388 12.8233209, 77.6844115 12.8237766, 77.684176 12.8240512, 77.6840293 12.824231)"
554,11929990226,1814895821,0,35.328453833761536,tertiary,"LINESTRING (77.6892596 12.8189429, 77.6889587 12.818821)"
555,11929990226,14100775650,0,4.888046255412464,tertiary,"LINESTRING (77.6892596 12.8189429, 77.6892297 12.8189758)"
556,11929990228,5018297475,0,184.46134886335284,tertiary,"LINESTRING (77.6896412 12.8185711, 77.6896599 12.8185473, 77.6902674 12.817751, 77.6906689 12.8172492)"
557,11929990228,11929990234,0,20.941421008544737,tertiary,"LINESTRING (77.6896412 12.8185711, 77.6895736 12.8185698, 77.6895557 12.8185745, 77.6895303 12.8185845, 77.6894831 12.818647)"
558,11929990232,10168788327,0,117.79718549511061,residential,"LINESTRING (77.6895148 12.8189477, 77.6905916 12.8188068)"
559,11929990234,11929990226,0,40.86326767567786,tertiary,"LINESTRING (77.6894831 12.818647, 77.6892596 12.8189429)"
560,11929990234,11929990235,0,29.649827146148898,tertiary_link,"LINESTRING (77.6894831 12.818647, 77.6892575 12.8184963)"
561,11929990235,1814895821,0,48.50919037396183,tertiary,"LINESTRING (77.6892575 12.8184963, 77.6889587 12.818821)"
562,11929990235,11929990234,0,29.649827146148898,tertiary_link,"LINESTRING (77.6892575 12.8184963, 77.6894831 12.818647)"
563,11929997694,11010072955,0,98.40155434765948,residential,"LINESTRING (77.6900157 12.8172935, 77.6897188 12.8171679, 77.6893702 12.8171313, 77.689338 12.8171078, 77.6893586 12.8169206)"
